epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.18,1.46595,2.2995,1.40216,0.46871,0.21488,0.20744,0.12215,1.41169,1.86083,1.36622,0.000414216,0.000414216,0.000414216
2,745.28,1.45677,1.71712,1.37155,0.44442,0.14641,0.12567,0.07079,1.45992,1.9325,1.3759,0.000797979,0.000797979,0.000797979
3,1282.72,1.52924,1.69807,1.41511,0.45378,0.13527,0.13043,0.07836,1.42647,1.72056,1.39269,0.00114874,0.00114874,0.00114874
4,1858.07,1.49329,1.59332,1.40263,0.39731,0.11172,0.10879,0.06334,1.44692,1.71395,1.36651,0.0011015,0.0011015,0.0011015
5,2688.83,1.46037,1.4718,1.36764,0.49406,0.0845,0.08133,0.04732,1.40963,1.45603,1.31071,0.001052,0.001052,0.001052
